index,English Word,Valence,Arousal,Dominance,Turkish Word,Joy,Anger,Sadness,Fear,Disgust
113,accompany,0.833,0.406,0.585,eşlik etmek,2.41,1.33,1.3,1.37,1.31
114,accompanying,0.787,0.46,0.582,Eşlik eden,2.6,1.32,1.3,1.38,1.29
115,accomplice,0.408,0.58,0.51,suç ortağı,1.53,1.97,1.93,2.05,1.84
116,accomplish,0.929,0.673,0.816,sonuçlandırmak,3.42,1.22,1.25,1.29,1.16
117,accomplished,0.87,0.52,0.798,başarılmış,3.25,1.25,1.27,1.32,1.19
118,accomplishment,0.917,0.694,0.888,başarı,3.33,1.26,1.27,1.35,1.19
119,accord,0.898,0.264,0.382,anlaşma,1.84,1.36,1.3,1.37,1.37
120,accordance,0.659,0.349,0.6,uyum,2.15,1.31,1.28,1.34,1.3
121,accordion,0.604,0.49,0.361,akordeon,2.01,1.37,1.33,1.4,1.37
122,account,0.531,0.347,0.472,hesap,1.94,1.39,1.33,1.42,1.37
123,accountability,0.755,0.537,0.833,Hesap verebilirlik,2.04,1.44,1.36,1.45,1.44
124,accountable,0.709,0.282,0.777,sorumlu,2.05,1.38,1.34,1.4,1.37
125,accountant,0.625,0.45,0.639,Muhasebeci,1.88,1.41,1.34,1.41,1.43
126,accounting,0.552,0.39,0.677,muhasebe,1.8,1.41,1.36,1.42,1.43
127,accounts,0.592,0.34,0.471,hesaplar,1.89,1.4,1.34,1.42,1.4
128,accredited,0.669,0.479,0.768,akredite,2.46,1.3,1.28,1.35,1.28
129,accretion,0.448,0.519,0.672,yığılma,2.01,1.42,1.39,1.46,1.41
130,accrue,0.52,0.481,0.602,tahakkuk etmek,2.31,1.32,1.3,1.36,1.31
131,accueil,0.45,0.451,0.47,acele etmek,2.52,1.31,1.29,1.35,1.28
132,accumulate,0.573,0.536,0.607,biriktirmek,2.17,1.35,1.32,1.38,1.35
133,accumulation,0.479,0.527,0.6,birikim,1.61,1.7,1.62,1.69,1.71
134,accuracy,0.604,0.481,0.802,kesinlik,2.46,1.34,1.31,1.39,1.3
135,accurate,0.743,0.36,0.737,kesin,3.41,1.21,1.24,1.29,1.15
136,accursed,0.135,0.745,0.345,lanetli,1.22,2.49,2.41,2.54,2.38
137,accusation,0.073,0.718,0.564,suçlama,1.23,2.43,2.31,2.39,2.43
138,accusative,0.198,0.755,0.482,suçlayıcı,1.53,1.72,1.53,1.52,1.99
139,accuse,0.133,0.752,0.5,suçlamak,1.39,1.99,1.78,1.78,2.25
140,accused,0.13,0.67,0.42,sanık,1.26,2.32,2.25,2.24,2.4
141,accuser,0.122,0.779,0.615,suçlayıcı,1.26,2.44,2.38,2.49,2.33
142,accusing,0.156,0.745,0.324,suçlamak,1.29,2.18,1.86,1.86,2.6
143,accustomed,0.542,0.365,0.441,alışmış,1.9,1.37,1.32,1.38,1.37
144,ace,0.643,0.481,0.546,as,2.11,1.36,1.32,1.4,1.34
145,acetic,0.333,0.42,0.519,asetik,1.52,1.75,1.76,1.76,1.77
146,acetylene,0.306,0.469,0.509,asetilen,1.66,1.59,1.5,1.61,1.58
147,ache,0.146,0.76,0.312,ağrı,1.31,2.12,2.08,2.01,2.3
148,achieve,0.816,0.545,0.843,başarmak,3.73,1.18,1.23,1.28,1.1
149,achieved,0.896,0.519,0.775,ulaşıldı,3.09,1.24,1.26,1.31,1.19
150,achievement,0.896,0.808,0.759,başarı,3.47,1.24,1.27,1.33,1.18
151,aching,0.053,0.88,0.348,ağrıyan,1.31,2.19,2.04,1.98,2.45
152,achy,0.167,0.84,0.373,ağrılı,1.16,2.27,2.14,1.97,2.73
153,acid,0.265,0.642,0.566,asit,1.14,2.47,2.4,2.4,2.53
154,acidity,0.156,0.663,0.36,asitlik,1.76,1.68,1.6,1.71,1.65
155,acknowledge,0.786,0.37,0.661,kabullenmek,2.74,1.27,1.28,1.31,1.25
156,acknowledged,0.714,0.443,0.765,kabul edildi,2.53,1.31,1.29,1.35,1.28
157,acknowledgement,0.819,0.539,0.83,teşekkür,2.71,1.29,1.28,1.34,1.27
158,acknowledgment,0.796,0.528,0.777,teşekkür,2.75,1.29,1.28,1.34,1.26
159,acme,0.408,0.435,0.375,acme,1.8,1.42,1.37,1.45,1.42
160,acne,0.167,0.474,0.308,akne,1.1,2.65,2.88,2.69,2.58
161,acorn,0.448,0.198,0.192,meşe palamudu,2.22,1.31,1.28,1.34,1.29
162,acoustic,0.542,0.462,0.536,akustik,3.23,1.24,1.26,1.31,1.19
163,acoustics,0.611,0.33,0.509,akustik,3.01,1.27,1.28,1.34,1.23
164,acquaint,0.646,0.491,0.639,tanışmak,2.42,1.29,1.27,1.32,1.28
165,acquaintance,0.656,0.29,0.67,tanıdık,2.72,1.29,1.28,1.34,1.26
166,acquainted,0.906,0.358,0.632,haberdar olma,2.83,1.28,1.28,1.33,1.24
167,acquiescence,0.542,0.48,0.554,rıza,1.77,1.44,1.39,1.45,1.45
168,acquire,0.833,0.468,0.7,elde etmek,1.97,1.36,1.31,1.38,1.35
169,acquiring,0.735,0.51,0.817,edinme,2.1,1.35,1.31,1.37,1.34
170,acquisition,0.698,0.509,0.736,kazanma,1.98,1.38,1.33,1.41,1.37
171,acquisitions,0.773,0.66,0.79,satın almalar,2.22,1.36,1.32,1.39,1.34
172,acquit,0.583,0.571,0.611,beraat,1.79,1.45,1.4,1.46,1.47
173,acquittal,0.76,0.497,0.7,beraat,1.75,1.58,1.5,1.61,1.57
174,acre,0.583,0.387,0.423,dönüm,1.89,1.31,1.26,1.32,1.32
175,acreage,0.741,0.45,0.528,dönüm,2.0,1.34,1.29,1.36,1.34
176,acres,0.51,0.363,0.5,dönüm,1.97,1.35,1.31,1.37,1.35
177,acrobat,0.708,0.828,0.602,akrobat,2.23,1.44,1.38,1.54,1.36
178,acrylic,0.582,0.279,0.42,akrilik,1.88,1.35,1.3,1.36,1.36
179,act,0.656,0.704,0.735,davranmak,2.02,1.37,1.33,1.4,1.35
180,acting,0.698,0.643,0.5,oyunculuk,1.84,1.43,1.36,1.45,1.42
181,action,0.76,0.898,0.802,eylem,2.07,1.55,1.45,1.69,1.42
182,action figure,0.615,0.774,0.611,aksiyon figürü,,,,,
183,actionable,0.673,0.702,0.613,harekete geçirilebilir,2.02,1.49,1.42,1.53,1.45
184,activate,0.764,0.65,0.806,etkinleştirmek,2.48,1.32,1.3,1.37,1.3
185,activation,0.781,0.8,0.754,aktivasyon,2.33,1.38,1.33,1.43,1.34
186,active,0.847,0.73,0.731,aktif,2.96,1.26,1.26,1.32,1.21
187,activist,0.531,0.653,0.877,eylemci,2.34,1.37,1.34,1.42,1.33
188,activity,0.701,0.66,0.807,aktivite,2.88,1.3,1.28,1.38,1.24
189,actor,0.653,0.561,0.629,aktör,2.77,1.31,1.3,1.37,1.26
190,actress,0.633,0.556,0.596,aktris,2.15,1.54,1.43,1.65,1.43
191,actual,0.729,0.4,0.716,gerçek,2.49,1.32,1.3,1.37,1.29
192,actuality,0.75,0.464,0.6,gerçeklik,2.14,1.38,1.35,1.42,1.36
193,actuary,0.51,0.404,0.491,aktüer,1.79,1.45,1.4,1.47,1.46
194,acuity,0.469,0.378,0.741,keskinlik,2.05,1.37,1.34,1.39,1.37
195,acumen,0.564,0.66,0.679,zeka,2.61,1.26,1.25,1.3,1.23
196,acupuncture,0.531,0.324,0.549,akupunktur,1.78,1.56,1.49,1.61,1.53
197,acute,0.427,0.652,0.534,akut,1.54,1.68,1.74,1.71,1.69
198,acutely,0.417,0.543,0.491,akut olarak,1.64,1.62,1.62,1.65,1.61
199,ad,0.521,0.705,0.558,reklam,1.84,1.43,1.39,1.48,1.42
200,adage,0.517,0.415,0.566,atasözü,1.84,1.4,1.35,1.41,1.41
201,adamant,0.344,0.529,0.575,kararlı,1.75,1.59,1.43,1.51,1.69
202,adapt,0.74,0.355,0.551,adapte olmak,2.12,1.28,1.24,1.3,1.26
203,adaptable,0.735,0.423,0.641,uyarlanabilir,2.62,1.28,1.27,1.33,1.24
204,adaptation,0.663,0.365,0.609,adaptasyon,2.27,1.35,1.32,1.39,1.33
205,add,0.728,0.49,0.554,Ekle,2.62,1.23,1.21,1.27,1.2
206,added,0.562,0.405,0.509,katma,2.3,1.3,1.27,1.33,1.27
207,addendum,0.392,0.37,0.418,zeyilname,1.75,1.4,1.35,1.41,1.42
208,adder,0.388,0.461,0.588,toplayıcı,1.68,1.49,1.44,1.5,1.52
209,addict,0.075,0.696,0.327,bağımlı,1.17,2.57,2.34,2.46,2.68
210,addicted,0.156,0.712,0.483,bağımlı,1.3,2.43,2.39,2.5,2.31
211,addiction,0.18,0.806,0.42,bağımlılık,1.23,2.49,2.44,2.53,2.41
212,addictive,0.302,0.683,0.472,bağımlılık yapan,1.55,2.19,2.05,2.4,1.92
213,addition,0.562,0.373,0.471,ilave,2.24,1.31,1.28,1.34,1.3
214,additional,0.673,0.462,0.526,ek olarak,2.8,1.27,1.27,1.32,1.24
215,additive,0.561,0.633,0.691,katkı,1.76,1.4,1.35,1.41,1.42
216,address,0.65,0.327,0.567,adres,2.86,1.25,1.26,1.28,1.23
217,addressee,0.622,0.382,0.538,muhatap,1.8,1.39,1.34,1.41,1.41
218,addresses,0.51,0.354,0.45,adresler,2.44,1.32,1.3,1.35,1.31
219,adept,0.594,0.539,0.789,usta,2.68,1.29,1.29,1.34,1.26
220,adequacy,0.615,0.435,0.702,yeterlilik,1.83,1.41,1.36,1.43,1.42
221,adequate,0.854,0.264,0.705,yeterli,2.01,1.35,1.31,1.37,1.34
222,adhere,0.633,0.339,0.554,bağlı kalmak,1.75,1.38,1.32,1.38,1.41
223,adherence,0.76,0.307,0.63,bağlılık,1.79,1.39,1.33,1.4,1.4
224,adherent,0.561,0.385,0.555,bağlı,1.71,1.44,1.36,1.41,1.5
225,adhering,0.612,0.561,0.537,bağlı kalmak,1.74,1.4,1.34,1.4,1.42
226,adhesion,0.521,0.445,0.586,yapışma,1.76,1.45,1.39,1.46,1.45
227,adhesive,0.604,0.35,0.413,yapıştırıcı,1.85,1.37,1.32,1.38,1.38
228,adieu,0.25,0.471,0.342,elveda,1.78,1.42,1.38,1.44,1.45
229,adipose,0.333,0.35,0.391,yağ,1.67,1.52,1.47,1.51,1.56
230,adjacency,0.365,0.417,0.375,komşuluk,1.75,1.41,1.35,1.41,1.42
231,adjacent,0.645,0.276,0.536,bitişik,1.78,1.39,1.34,1.4,1.41
232,adjective,0.57,0.316,0.569,sıfat,1.83,1.39,1.34,1.4,1.39
233,adjoining,0.52,0.4,0.393,bitişik,1.9,1.37,1.32,1.38,1.37
234,adjourn,0.385,0.456,0.475,ertelemek,1.78,1.4,1.35,1.41,1.42
235,adjournment,0.438,0.51,0.37,erteleme,1.59,1.64,1.58,1.6,1.7
236,adjudicate,0.559,0.52,0.683,hüküm vermek,1.85,1.41,1.35,1.42,1.41
237,adjudication,0.551,0.462,0.691,hüküm,1.65,1.62,1.53,1.63,1.62
238,adjunct,0.459,0.44,0.426,ek,1.75,1.41,1.35,1.41,1.43
239,adjust,0.647,0.327,0.638,ayarlamak,2.19,1.27,1.24,1.29,1.27
240,adjuster,0.51,0.54,0.76,ayarlayıcı,1.74,1.4,1.34,1.41,1.43
241,adjustment,0.59,0.52,0.661,ayar,1.97,1.37,1.32,1.38,1.38
242,adjuvant,0.51,0.5,0.456,adjuvan,1.76,1.42,1.36,1.43,1.43
243,admin,0.688,0.42,0.854,yönetici,1.8,1.42,1.37,1.44,1.42
244,administer,0.635,0.425,0.86,yönetmek,1.81,1.39,1.33,1.4,1.4
245,administration,0.625,0.404,0.786,yönetim,1.7,1.55,1.47,1.53,1.57
246,administrative,0.542,0.415,0.579,Yönetim,1.65,1.58,1.53,1.58,1.59
247,administrator,0.538,0.48,0.902,yönetici,1.88,1.41,1.35,1.41,1.42
248,admirable,0.929,0.6,0.87,takdire şayan,3.27,1.23,1.26,1.3,1.19
249,admiral,0.844,0.49,0.847,amiral,1.75,1.43,1.37,1.43,1.44
250,admiralty,0.594,0.547,0.733,amirallik,1.75,1.42,1.36,1.43,1.43
251,admiration,0.969,0.583,0.726,hayranlık,3.44,1.24,1.25,1.32,1.17
252,admire,0.867,0.692,0.704,beğenmek,3.61,1.2,1.24,1.28,1.13
253,admired,0.917,0.56,0.815,hayran,3.72,1.2,1.24,1.3,1.11
254,admirer,0.796,0.72,0.65,hayran,3.4,1.25,1.28,1.33,1.19
255,admiring,0.867,0.578,0.629,hayran olmak,3.34,1.25,1.27,1.34,1.19
256,admissibility,0.802,0.58,0.602,kabul edilebilirlik,1.69,1.61,1.53,1.66,1.57
257,admissible,0.78,0.528,0.642,kabul edilebilir,1.79,1.42,1.37,1.44,1.43
258,admission,0.802,0.415,0.732,kabul,2.78,1.31,1.31,1.37,1.28
259,admit,0.538,0.423,0.667,Kabul et,1.7,1.64,1.46,1.49,1.85
260,admittance,0.69,0.451,0.598,kabul,3.02,1.27,1.28,1.33,1.23
261,admitted,0.72,0.49,0.767,kabul edilmiş,1.56,1.74,1.64,1.71,1.77
262,admitting,0.62,0.5,0.546,kabul etmek,1.33,2.13,1.93,1.92,2.39
263,admixture,0.45,0.375,0.438,katkı,1.73,1.46,1.41,1.48,1.47
264,admonition,0.357,0.606,0.455,öğüt,1.77,1.5,1.41,1.49,1.52
265,ado,0.52,0.423,0.385,ado,1.76,1.45,1.42,1.47,1.47
266,adobe,0.5,0.319,0.328,Adobe,1.81,1.38,1.33,1.4,1.39
267,adolescence,0.487,0.694,0.444,Gençlik,2.2,1.44,1.4,1.52,1.38
268,adolescent,0.781,0.68,0.509,ergen,2.1,1.55,1.48,1.68,1.44
269,adopt,0.694,0.612,0.701,evlat edinmek,2.23,1.3,1.27,1.33,1.28
270,adoption,0.625,0.566,0.589,Benimseme,2.99,1.28,1.29,1.36,1.22
271,adoptive,0.531,0.469,0.52,evlat edinen,2.57,1.32,1.32,1.37,1.29
272,adorable,0.969,0.519,0.457,sevimli,3.76,1.21,1.26,1.31,1.13
273,adoration,0.885,0.699,0.708,hayranlık,3.12,1.29,1.29,1.38,1.23
274,adore,0.854,0.438,0.657,hayranlık duymak,3.65,1.21,1.27,1.3,1.14
275,adoring,0.885,0.62,0.717,tapan,3.49,1.28,1.31,1.37,1.2
276,adorn,0.91,0.424,0.482,süslemek,2.39,1.31,1.28,1.34,1.29
277,adornment,0.918,0.373,0.377,süsleme,2.68,1.28,1.28,1.32,1.26
278,adrenalin,0.865,0.92,0.786,adrenalin,2.8,1.5,1.42,1.71,1.31
279,adrenaline,0.765,0.965,0.825,adrenalin,2.73,1.56,1.48,1.79,1.35
280,adrift,0.398,0.486,0.23,sürüklenmek,1.59,1.58,1.59,1.59,1.6
281,adult,0.815,0.491,0.787,yetişkin,2.95,1.26,1.26,1.33,1.21
282,adulterated,0.188,0.865,0.37,tahrif edilmiş,1.38,2.07,2.0,2.02,2.13
283,adulterer,0.229,0.814,0.407,zina yapan,1.17,2.62,2.64,2.72,2.42
284,adultery,0.12,0.922,0.51,zina,1.18,2.66,2.7,2.77,2.45
285,adulthood,0.541,0.454,0.652,yetişkinlik,2.12,1.37,1.34,1.41,1.36
286,advance,0.673,0.472,0.858,ilerlemek,2.93,1.29,1.29,1.36,1.25
287,advanced,0.844,0.623,0.797,ileri,2.63,1.35,1.32,1.41,1.3
288,advancement,0.776,0.65,0.839,ilerleme,3.26,1.27,1.28,1.35,1.2
289,advancing,0.929,0.608,0.812,ilerleyen,2.26,1.45,1.39,1.53,1.39
290,advantage,0.917,0.548,0.859,avantaj,2.21,1.4,1.34,1.45,1.36
291,advantageous,0.837,0.64,0.789,avantajlı,3.06,1.27,1.28,1.33,1.22
292,advent,0.665,0.56,0.627,gelişi,1.97,1.44,1.4,1.5,1.42
293,adventure,0.917,0.857,0.71,macera,3.31,1.3,1.29,1.42,1.19
294,adventurer,0.781,0.839,0.868,maceracı,3.2,1.28,1.28,1.37,1.2
295,adventures,0.812,0.764,0.749,maceralar,3.26,1.31,1.3,1.42,1.21
296,adventurous,0.969,0.898,0.722,maceracı,3.3,1.3,1.3,1.42,1.21
297,adversary,0.349,0.777,0.457,düşman,1.44,2.14,1.99,2.19,2.04
298,adverse,0.323,0.61,0.385,olumsuz,1.46,2.08,2.16,2.23,1.91
299,adversity,0.276,0.76,0.538,sıkıntı,1.91,1.53,1.48,1.62,1.47
300,advertise,0.5,0.529,0.58,reklam yapmak,1.84,1.47,1.39,1.49,1.45
301,advertisement,0.6,0.566,0.539,reklamcılık,1.88,1.43,1.38,1.47,1.42
302,advertising,0.622,0.608,0.632,reklam,1.99,1.48,1.41,1.54,1.43
303,adverts,0.551,0.5,0.595,reklamlar,1.75,1.47,1.42,1.48,1.48
304,advice,0.698,0.408,0.688,tavsiye,2.4,1.3,1.28,1.33,1.28
305,advisable,0.867,0.48,0.51,uygun,1.94,1.37,1.33,1.39,1.37
306,advise,0.76,0.393,0.705,öğüt vermek,1.95,1.36,1.31,1.37,1.36
307,advised,0.823,0.33,0.509,tavsiye,1.91,1.37,1.33,1.39,1.38
308,advisement,0.698,0.235,0.655,tavsiye,1.82,1.38,1.33,1.39,1.4
309,adviser,0.745,0.362,0.705,danışman,1.81,1.38,1.32,1.39,1.39
310,advisor,0.646,0.35,0.689,danışman,1.85,1.36,1.31,1.37,1.37
311,advisory,0.656,0.429,0.633,danışma,1.75,1.41,1.35,1.41,1.42
312,advocacy,0.5,0.646,0.731,savunuculuk,1.8,1.46,1.38,1.48,1.46
313,advocate,0.551,0.53,0.818,savunucu,2.09,1.37,1.32,1.39,1.36
314,aegis,0.49,0.439,0.462,kalkan,1.76,1.39,1.34,1.4,1.41
315,aeration,0.55,0.5,0.433,havalandırma,1.96,1.38,1.33,1.39,1.38
